symbol,date,adjusted
AAPL,2000-05-19,0.704776137417002
AAPL,2000-05-22,0.674335806375374
AAPL,2000-05-23,0.643370642039925
AAPL,2000-05-24,0.657466164788265
AAPL,2000-05-25,0.654317165025338
AAPL,2000-05-26,0.647569308390495
AAPL,2000-05-30,0.656491474385454
AAPL,2000-05-31,0.629799952585406
AAPL,2000-06-01,0.668187759219183
AAPL,2000-06-02,0.693979566801252
AAPL,2000-06-05,0.684607543697303
AAPL,2000-06-06,0.696303828531032
AAPL,2000-06-07,0.723970040733891
AAPL,2000-06-08,0.710849208388362
AAPL,2000-06-09,0.717896969762532
AAPL,2000-06-12,0.683707829479324
AAPL,2000-06-13,0.708524946658582
AAPL,2000-06-14,0.678084615616954
AAPL,2000-06-15,0.692555019289452
AAPL,2000-06-16,0.683707829479324
AAPL,2000-06-19,0.72441989784288
AAPL,2000-06-20,0.759133871419909
AAPL,2000-06-21,0.834185032436337
AAPL,2000-06-22,0.805993986939657
AAPL,2000-06-23,0.775103798789039
AAPL,2000-06-26,0.811692176986858
AAPL,2000-06-27,0.776003513007018
AAPL,2000-06-28,0.816340700446417
AAPL,2000-06-29,0.768505894523859
AAPL,2000-06-30,0.7854505122958
AAPL,2000-07-03,0.799396082674476
AAPL,2000-07-05,0.77420408457106
AAPL,2000-07-06,0.776903227224998
AAPL,2000-07-07,0.816340700446417
AAPL,2000-07-10,0.856677887885816
AAPL,2000-07-11,0.853828792862215
AAPL,2000-07-12,0.882919552576874
AAPL,2000-07-13,0.847230888597035
AAPL,2000-07-14,0.865075220586954
AAPL,2000-07-17,0.874372267506072
AAPL,2000-07-18,0.858477316321774
AAPL,2000-07-19,0.790099035755358
AAPL,2000-07-20,0.826687413953177
AAPL,2000-07-21,0.803144891916056
AAPL,2000-07-24,0.730118087890082
AAPL,2000-07-25,0.750661562533939
AAPL,2000-07-26,0.750661562533939
AAPL,2000-07-27,0.779752322248598
AAPL,2000-07-28,0.72441989784288
AAPL,2000-07-31,0.761907990258678
AAPL,2000-08-01,0.7394151348092
AAPL,2000-08-02,0.708524946658582
AAPL,2000-08-03,0.719771374383321
AAPL,2000-08-04,0.710474327464204
AAPL,2000-08-07,0.718871660165342
AAPL,2000-08-08,0.701027328175422
AAPL,2000-08-09,0.712273755900162
AAPL,2000-08-10,0.713173470118141
AAPL,2000-08-11,0.715122850923762
AAPL,2000-08-14,0.705675851634981
AAPL,2000-08-15,0.700127613957443
AAPL,2000-08-16,0.727268992866481
AAPL,2000-08-17,0.771354989547459
AAPL,2000-08-18,0.74976184831596
AAPL,2000-08-21,0.757259466799119
AAPL,2000-08-22,0.775103798789039
AAPL,2000-08-23,0.814391319640796
AAPL,2000-08-24,0.84138274618017
AAPL,2000-08-25,0.851879412056594
AAPL,2000-08-28,0.87062345826449306
AAPL,2000-08-29,0.887568076036433
AAPL,2000-08-30,0.892216599495992
AAPL,2000-08-31,0.913809740727492
AAPL,2000-09-01,0.95129783314329
AAPL,2000-09-05,0.936302596176971
AAPL,2000-09-06,0.876321648311694
AAPL,2000-09-07,0.92970469191179
AAPL,2000-09-08,0.882919552576874
AAPL,2000-09-11,0.876321648311694
AAPL,2000-09-12,0.865974934804934
AAPL,2000-09-13,0.869723744046513
AAPL,2000-09-14,0.85262917390491
AAPL,2000-09-15,0.828186937649809
AAPL,2000-09-18,0.909611074376922
AAPL,2000-09-19,0.898814503761173
AAPL,2000-09-20,0.915459216793787
AAPL,2000-09-21,0.850079983620635
AAPL,2000-09-22,0.782601417272199
AAPL,2000-09-25,0.802245177698077
AAPL,2000-09-26,0.771354989547459
AAPL,2000-09-27,0.733866897131661
AAPL,2000-09-28,0.802245177698077
AAPL,2000-09-29,0.386127351882719
AAPL,2000-10-02,0.363634496433241
AAPL,2000-10-03,0.334543736718581
AAPL,2000-10-04,0.354187497144459
AAPL,2000-10-05,0.330794927477001
AAPL,2000-10-06,0.332744308282623
